------------------------------------
Frequenza [GHz]:     9.4000
Lambda [cm]:     3.1915
R:    67.0213[cm] =    21.0000[wl]
a:    23.6170[cm] =    7.4000[wl]
b:     7.3404[cm] =    2.3000[wl]
Shift Factor:     0.0000
Seed:     132786
------------------------------------
Theta[°]     Phi[°]    Delta_R[m]
------------------------------------
   27.5942  187.8261  0.000000
   27.5942  193.0435  0.000000
   27.5942  198.2609  0.000000
   27.5942  203.4783  0.000000
   27.5942  208.6957  0.000000
   27.5942  213.9130  0.000000
   27.5942  219.1304  0.000000
   27.5942  224.3478  0.000000
   27.5942  229.5652  0.000000
   27.5942  234.7826  0.000000
   27.5942  240.0000  0.000000
   27.5942  245.2174  0.000000
   27.5942  250.4348  0.000000
   27.5942  255.6522  0.000000
   27.5942  260.8696  0.000000
   27.5942  266.0870  0.000000
   27.5942  271.3043  0.000000
   27.5942  276.5217  0.000000
   27.5942  281.7391  0.000000
   27.5942  286.9565  0.000000
   27.5942  292.1739  0.000000
   27.5942  297.3913  0.000000
   27.5942  302.6087  0.000000
   27.5942  307.8261  0.000000
   27.5942  313.0435  0.000000
   27.5942  318.2609  0.000000
   27.5942  323.4783  0.000000
   27.5942  328.6957  0.000000
   27.5942  333.9130  0.000000
   27.5942  339.1304  0.000000
   27.5942  344.3478  0.000000
   27.5942  349.5652  0.000000
   27.5942  354.7826  0.000000
   27.5942    0.0000  0.000000
   27.5942    5.2174  0.000000
   27.5942   10.4348  0.000000
   27.5942   15.6522  0.000000
   27.5942   20.8696  0.000000
   27.5942   26.0870  0.000000
   27.5942   31.3043  0.000000
   27.5942   36.5217  0.000000
   27.5942   41.7391  0.000000
   27.5942   46.9565  0.000000
   27.5942   52.1739  0.000000
   27.5942   57.3913  0.000000
   27.5942   62.6087  0.000000
   27.5942   67.8261  0.000000
   27.5942   73.0435  0.000000
   27.5942   78.2609  0.000000
   27.5942   83.4783  0.000000
   27.5942   88.6957  0.000000
   27.5942   93.9130  0.000000
   27.5942   99.1304  0.000000
   27.5942  104.3478  0.000000
   27.5942  109.5652  0.000000
   27.5942  114.7826  0.000000
   27.5942  120.0000  0.000000
   27.5942  125.2174  0.000000
   27.5942  130.4348  0.000000
   27.5942  135.6522  0.000000
   27.5942  140.8696  0.000000
   27.5942  146.0870  0.000000
   27.5942  151.3043  0.000000
   27.5942  156.5217  0.000000
   27.5942  161.7391  0.000000
   27.5942  166.9565  0.000000
   27.5942  172.1739  0.000000
   27.5942  177.3913  0.000000
   30.5314  182.4000  0.000000
   30.5314  187.2000  0.000000
   30.5314  192.0000  0.000000
   30.5314  196.8000  0.000000
   30.5314  201.6000  0.000000
   30.5314  206.4000  0.000000
   30.5314  211.2000  0.000000
   30.5314  216.0000  0.000000
   30.5314  220.8000  0.000000
   30.5314  225.6000  0.000000
   30.5314  230.4000  0.000000
   30.5314  235.2000  0.000000
   30.5314  240.0000  0.000000
   30.5314  244.8000  0.000000
   30.5314  249.6000  0.000000
   30.5314  254.4000  0.000000
   30.5314  259.2000  0.000000
   30.5314  264.0000  0.000000
   30.5314  268.8000  0.000000
   30.5314  273.6000  0.000000
   30.5314  278.4000  0.000000
   30.5314  283.2000  0.000000
   30.5314  288.0000  0.000000
   30.5314  292.8000  0.000000
   30.5314  297.6000  0.000000
   30.5314  302.4000  0.000000
   30.5314  307.2000  0.000000
   30.5314  312.0000  0.000000
   30.5314  316.8000  0.000000
   30.5314  321.6000  0.000000
   30.5314  326.4000  0.000000
   30.5314  331.2000  0.000000
   30.5314  336.0000  0.000000
   30.5314  340.8000  0.000000
   30.5314  345.6000  0.000000
   30.5314  350.4000  0.000000
   30.5314  355.2000  0.000000
   30.5314    0.0000  0.000000
   30.5314    4.8000  0.000000
   30.5314    9.6000  0.000000
   30.5314   14.4000  0.000000
   30.5314   19.2000  0.000000
   30.5314   24.0000  0.000000
   30.5314   28.8000  0.000000
   30.5314   33.6000  0.000000
   30.5314   38.4000  0.000000
   30.5314   43.2000  0.000000
   30.5314   48.0000  0.000000
   30.5314   52.8000  0.000000
   30.5314   57.6000  0.000000
   30.5314   62.4000  0.000000
   30.5314   67.2000  0.000000
   30.5314   72.0000  0.000000
   30.5314   76.8000  0.000000
   30.5314   81.6000  0.000000
   30.5314   86.4000  0.000000
   30.5314   91.2000  0.000000
   30.5314   96.0000  0.000000
   30.5314  100.8000  0.000000
   30.5314  105.6000  0.000000
   30.5314  110.4000  0.000000
   30.5314  115.2000  0.000000
   30.5314  120.0000  0.000000
   30.5314  124.8000  0.000000
   30.5314  129.6000  0.000000
   30.5314  134.4000  0.000000
   30.5314  139.2000  0.000000
   30.5314  144.0000  0.000000
   30.5314  148.8000  0.000000
   30.5314  153.6000  0.000000
   30.5314  158.4000  0.000000
   30.5314  163.2000  0.000000
   30.5314  168.0000  0.000000
   30.5314  172.8000  0.000000
   30.5314  177.6000  0.000000
   33.5286  182.2222  0.000000
   33.5286  186.6667  0.000000
   33.5286  191.1111  0.000000
   33.5286  195.5556  0.000000
   33.5286  200.0000  0.000000
   33.5286  204.4444  0.000000
   33.5286  208.8889  0.000000
   33.5286  213.3333  0.000000
   33.5286  217.7778  0.000000
   33.5286  222.2222  0.000000
   33.5286  226.6667  0.000000
   33.5286  231.1111  0.000000
   33.5286  235.5556  0.000000
   33.5286  240.0000  0.000000
   33.5286  244.4444  0.000000
   33.5286  248.8889  0.000000
   33.5286  253.3333  0.000000
   33.5286  257.7778  0.000000
   33.5286  262.2222  0.000000
   33.5286  266.6667  0.000000
   33.5286  271.1111  0.000000
   33.5286  275.5556  0.000000
   33.5286  280.0000  0.000000
   33.5286  284.4444  0.000000
   33.5286  288.8889  0.000000
   33.5286  293.3333  0.000000
   33.5286  297.7778  0.000000
   33.5286  302.2222  0.000000
   33.5286  306.6667  0.000000
   33.5286  311.1111  0.000000
   33.5286  315.5556  0.000000
   33.5286  320.0000  0.000000
   33.5286  324.4444  0.000000
   33.5286  328.8889  0.000000
   33.5286  333.3333  0.000000
   33.5286  337.7778  0.000000
   33.5286  342.2222  0.000000
   33.5286  346.6667  0.000000
   33.5286  351.1111  0.000000
   33.5286  355.5556  0.000000
   33.5286    0.0000  0.000000
   33.5286    4.4444  0.000000
   33.5286    8.8889  0.000000
   33.5286   13.3333  0.000000
   33.5286   17.7778  0.000000
   33.5286   22.2222  0.000000
   33.5286   26.6667  0.000000
   33.5286   31.1111  0.000000
   33.5286   35.5556  0.000000
   33.5286   40.0000  0.000000
   33.5286   44.4444  0.000000
   33.5286   48.8889  0.000000
   33.5286   53.3333  0.000000
   33.5286   57.7778  0.000000
   33.5286   62.2222  0.000000
   33.5286   66.6667  0.000000
   33.5286   71.1111  0.000000
   33.5286   75.5556  0.000000
   33.5286   80.0000  0.000000
   33.5286   84.4444  0.000000
   33.5286   88.8889  0.000000
   33.5286   93.3333  0.000000
   33.5286   97.7778  0.000000
   33.5286  102.2222  0.000000
   33.5286  106.6667  0.000000
   33.5286  111.1111  0.000000
   33.5286  115.5556  0.000000
   33.5286  120.0000  0.000000
   33.5286  124.4444  0.000000
   33.5286  128.8889  0.000000
   33.5286  133.3333  0.000000
   33.5286  137.7778  0.000000
   33.5286  142.2222  0.000000
   33.5286  146.6667  0.000000
   33.5286  151.1111  0.000000
   33.5286  155.5556  0.000000
   33.5286  160.0000  0.000000
   33.5286  164.4444  0.000000
   33.5286  168.8889  0.000000
   33.5286  173.3333  0.000000
   33.5286  177.7778  0.000000
   36.5967  182.0690  0.000000
   36.5967  186.2069  0.000000
   36.5967  190.3448  0.000000
   36.5967  194.4828  0.000000
   36.5967  198.6207  0.000000
   36.5967  202.7586  0.000000
   36.5967  206.8966  0.000000
   36.5967  211.0345  0.000000
   36.5967  215.1724  0.000000
   36.5967  219.3103  0.000000
   36.5967  223.4483  0.000000
   36.5967  227.5862  0.000000
   36.5967  231.7241  0.000000
   36.5967  235.8621  0.000000
   36.5967  240.0000  0.000000
   36.5967  244.1379  0.000000
   36.5967  248.2759  0.000000
   36.5967  252.4138  0.000000
   36.5967  256.5517  0.000000
   36.5967  260.6897  0.000000
   36.5967  264.8276  0.000000
   36.5967  268.9655  0.000000
   36.5967  273.1034  0.000000
   36.5967  277.2414  0.000000
   36.5967  281.3793  0.000000
   36.5967  285.5172  0.000000
   36.5967  289.6552  0.000000
   36.5967  293.7931  0.000000
   36.5967  297.9310  0.000000
   36.5967  302.0690  0.000000
   36.5967  306.2069  0.000000
   36.5967  310.3448  0.000000
   36.5967  314.4828  0.000000
   36.5967  318.6207  0.000000
   36.5967  322.7586  0.000000
   36.5967  326.8966  0.000000
   36.5967  331.0345  0.000000
   36.5967  335.1724  0.000000
   36.5967  339.3103  0.000000
   36.5967  343.4483  0.000000
   36.5967  347.5862  0.000000
   36.5967  351.7241  0.000000
   36.5967  355.8621  0.000000
   36.5967    0.0000  0.000000
   36.5967    4.1379  0.000000
   36.5967    8.2759  0.000000
   36.5967   12.4138  0.000000
   36.5967   16.5517  0.000000
   36.5967   20.6897  0.000000
   36.5967   24.8276  0.000000
   36.5967   28.9655  0.000000
   36.5967   33.1034  0.000000
   36.5967   37.2414  0.000000
   36.5967   41.3793  0.000000
   36.5967   45.5172  0.000000
   36.5967   49.6552  0.000000
   36.5967   53.7931  0.000000
   36.5967   57.9310  0.000000
   36.5967   62.0690  0.000000
   36.5967   66.2069  0.000000
   36.5967   70.3448  0.000000
   36.5967   74.4828  0.000000
   36.5967   78.6207  0.000000
   36.5967   82.7586  0.000000
   36.5967   86.8966  0.000000
   36.5967   91.0345  0.000000
   36.5967   95.1724  0.000000
   36.5967   99.3103  0.000000
   36.5967  103.4483  0.000000
   36.5967  107.5862  0.000000
   36.5967  111.7241  0.000000
   36.5967  115.8621  0.000000
   36.5967  120.0000  0.000000
   36.5967  124.1379  0.000000
   36.5967  128.2759  0.000000
   36.5967  132.4138  0.000000
   36.5967  136.5517  0.000000
   36.5967  140.6897  0.000000
   36.5967  144.8276  0.000000
   36.5967  148.9655  0.000000
   36.5967  153.1034  0.000000
   36.5967  157.2414  0.000000
   36.5967  161.3793  0.000000
   36.5967  165.5172  0.000000
   36.5967  169.6552  0.000000
   36.5967  173.7931  0.000000
